,fromZone,ToZone,morning_traffic
144385,100101,100480,114.57571399999999
146048,100118,100127,225.920505
146391,100127,100118,235.52827100000002
151770,100057,100068,136.60378
151771,100057,100069,125.647812
151772,100057,100071,118.83681299999999
151773,100057,100072,219.640707
152295,100059,100072,228.41040900000002
152363,100059,100485,110.357584
152762,100060,100068,100.364348
152765,100060,100072,196.736331
153171,100061,100072,112.198922
153507,100062,100072,170.569194
154084,100064,100068,125.77426200000001
154087,100064,100072,252.361759
154415,100065,100069,263.423387
154684,100066,100072,101.031256
155460,100069,100065,123.371968
155466,100069,100072,114.307791
156940,100076,100072,105.16444
157862,100080,100485,109.542069
158298,100081,100485,101.838336
158905,100002,100029,113.957143
159536,100004,100005,233.21072200000003
159560,100004,100029,109.315303
159952,100005,100004,197.801348
159977,100005,100029,149.643519
159986,100005,100038,104.8154
160006,100005,100485,100.22023999999999
160991,100008,100072,130.033566
161028,100008,100029,215.05816500000003
161029,100008,100030,149.364833
161030,100008,100031,120.16035600000001
161032,100008,100033,145.25698100000002
161036,100008,100037,109.026781
161037,100008,100038,127.411738
161057,100008,100485,117.298669
161062,100008,101263,112.912374
162619,100013,100072,120.232078
162658,100013,100029,108.296491
162667,100013,100038,103.24655100000001
162687,100013,100485,114.8373
163097,100014,100029,142.382167
163101,100014,100033,120.549776
165120,100021,100038,119.843673
165465,100022,100018,105.105501
165480,100022,100033,148.50690500000002
165482,100022,100035,104.586623
165484,100022,100037,140.070607
165485,100022,100038,249.72187499999998
165495,100022,100048,117.74727399999999
165503,100022,100483,108.601288
165505,100022,100485,196.297905
165868,100023,100072,102.39957600000001
165911,100023,100037,133.934685
165912,100023,100038,202.05692200000001
165913,100023,100039,100.29928999999998
165922,100023,100048,102.861099
165932,100023,100485,159.16594400000002
166414,100025,100072,107.195978
166455,100025,100033,101.720474
166459,100025,100037,103.33099999999999
166460,100025,100038,223.21952900000002
166461,100025,100039,130.981983
166480,100025,100485,102.404476
166925,100026,100038,121.610254
166926,100026,100039,125.951147
166945,100026,100485,121.659142
166969,100026,100099,103.561749
167342,100027,100072,108.882019
167387,100027,100038,167.122973
168178,100029,100072,131.191157
168190,100029,100002,129.14326599999998
168196,100029,100008,109.348276
168198,100029,100010,104.337933
168214,100029,100026,108.324437
168221,100029,100033,124.28806
168225,100029,100037,142.344023
168226,100029,100038,219.518981
168236,100029,100048,102.27766100000001
168244,100029,100483,112.001171
168246,100029,100485,157.027257
168290,100029,100480,106.476316
168731,100030,101263,131.09555799999998
170194,100034,100039,115.66490300000001
170650,100035,100039,116.469058
171756,100038,100025,117.87970700000001
171760,100038,100029,102.64891999999999
171770,100038,100039,124.70372
